basin,nse,kge,topo_lv,routing_lv
1050009170,NaN,NaN,1,1
1050012020,NaN,NaN,1,1
1050012210,NaN,NaN,1,1
1050012590,NaN,NaN,1,9
1050012810,NaN,NaN,1,1
1050013070,0.6615381726849363,0.698723918269631,1,1
1050013950,0.5167112947923448,0.3696057451837348,1,1
1050014220,0.041251614630199995,-0.17565732312157567,1,1
1050014490,0.13737094555011742,-0.04006947211974099,1,1
1050014920,0.07452378992739528,-0.8160476562559362,1,1
1050015850,NaN,NaN,1,9
1050016760,0.279372210932503,-6.549004268170419,1,1
1050017350,-0.17077347928739295,-2.9201815139484255,1,1
1050018120,NaN,NaN,1,5
1050023130,-0.9626064800936369,0.20589661795633873,1,1
1050023890,-3.3971907899543208,-2.4412047492063347,1,1
1050023950,-12.032756026839309,-2.1392872201065964,1,1
1050024070,-3.0430600525367684,-0.22590253745433753,1,1
1050024870,NaN,NaN,1,1
1050025000,NaN,NaN,1,1
1050030450,-0.0333244168603839,-0.2791386000746503,1,1
2050003550,NaN,NaN,1,1
2050004130,NaN,NaN,1,1
2050004280,NaN,NaN,1,1
2050005120,NaN,NaN,1,1
2050006110,0.03500385528676264,0.562881635585162,1,1
2050007930,NaN,NaN,1,11
2050008350,NaN,NaN,1,1
2050008490,NaN,NaN,1,13
2050012980,NaN,NaN,1,1
2050013010,NaN,NaN,1,1
2050016510,NaN,NaN,1,1
2050017150,0.6294133991865933,0.7774861183636257,1,1
2050017480,-0.9540458341741,-0.29215836508898696,1,1
2050017690,0.23254455077487424,-2.5367418096792704,1,1
2050018360,NaN,NaN,1,1
2050018460,NaN,NaN,1,1
2050018840,NaN,NaN,1,1
2050020590,NaN,NaN,1,1
2050021030,NaN,NaN,1,5
2050023010,0.7508867709333764,0.8075069969293442,1,5
2050024170,0.2737582204777731,0.5237221726652694,1,5
2050026060,0.3277679221197629,0.5164042582077959,1,5
2050026550,NaN,NaN,1,5
2050026920,0.7101871394442827,0.7719322550942458,1,1
2050027320,0.6758353903684227,0.7255171311519506,1,1
2050027350,0.48913478964761736,0.37733210798823247,1,1
2050028110,NaN,NaN,1,1
2050028310,-1.4544604458457813,0.40599642182048823,1,5
2050029320,0.6382557216476992,0.8176166281955797,1,1
2050030060,0.8071449229393365,0.7494744015046348,1,1
2050030100,0.7461240552777286,0.717601586529623,1,1
2050030260,0.179022856254328,0.5389811501791744,1,1
2050030480,0.47009200972801923,0.6256133333265415,1,1
2050030650,0.7095266444480269,0.6280909041010257,1,1
2050031060,0.5491529753350858,0.6153072228343446,1,1
2050031490,0.5955864014931854,0.6555340052874308,1,1
2050031740,0.6408365092220027,0.5872975031110552,1,1
2050031960,0.721529977637624,0.7168451912500794,1,1
2050032670,0.8116432237155076,0.8247428697268415,1,1
2050033010,0.7833569031279821,0.8781727339384071,1,1
2050033320,0.2669840663108326,0.5394994466545235,1,1
2050033490,0.7218774782962308,0.6714825976949592,1,1
2050033670,0.6032713404916392,0.794125338972834,1,1
2050039390,0.45131006958406195,0.7345450316868427,1,1
2050041420,0.3702900281691407,0.23330574158789696,1,1
2050067740,NaN,NaN,1,5
2050068680,NaN,NaN,1,13
3050001840,NaN,NaN,1,17
3050002000,NaN,NaN,1,1
3050002680,-1.078412537049843,-0.2616888824414507,1,5
3050008310,0.7595156313797871,0.678538840169179,1,1
3050008610,-0.04515497566207638,-0.3642165533813897,1,5
3050009130,NaN,NaN,1,21
3050009670,0.5629430421335124,0.40273961693876137,1,5
3050010470,0.48875409980597895,0.4762625318393272,1,5
3050014970,NaN,NaN,1,1
3050015630,NaN,NaN,1,1
4050006570,NaN,NaN,1,5
4050007080,NaN,NaN,1,1
4050007850,NaN,NaN,1,13
4050018280,-1.2839861259656526,-1.3744230843613625,1,1
4050023810,0.5293399093783744,0.4481476211971135,1,5
5050056740,-0.10703603179552368,-0.02509203974579033,1,5
5050057320,-0.001805528439113857,-0.37444097460883263,1,1
5050057710,0.03832651207805893,-0.34066251480115306,1,1
5050057900,0.11651602877004197,-0.21838160719179256,1,1
5050058580,0.023867510231972755,-0.37590196316561775,1,1
5050059440,-0.09277232500356769,-0.28744492516592524,1,1
5050060860,0.7530246800983238,0.6445348266268098,1,1
5050061240,-0.9494629127102456,-0.3005776190601288,1,1
5050062110,0.6727154371357787,0.6233660638592353,1,1
5050064530,0.20269088629053733,-0.04155469031267178,1,1
5050065600,0.03227732289659735,-0.33570820199579665,1,5
5050068450,-Inf,NaN,1,5
5050069590,NaN,NaN,1,5
5050069960,0.218715836101669,0.015624795426211202,1,1
5050071130,NaN,NaN,1,1
5050071980,0.6938648115345283,0.8449776800283548,1,1
5050073130,0.08736694202445139,-0.08673823690132076,1,1
5050073410,-6.252452519732041,-1.1377151072168812,1,8
5050083490,0.808498714159129,0.7603168220574315,1,1
5050084900,0.6663691399800902,0.7047083774313875,1,1
5050085290,0.7629546019617057,0.8243277902824885,1,1
6050005490,0.3374833940820171,0.2930513210490312,1,1
6050007950,NaN,NaN,1,13
6050008620,0.7873756039972447,0.8265631982832073,1,1
6050009220,0.6126340477999674,0.4687405518860609,1,1
6050009430,0.43758329136925866,0.32818294350841615,1,1
6050009760,0.7152959305175284,0.8178597154146626,1,5
6050011240,0.1445972117203086,0.003682148757088388,1,1
6050011890,0.19530778900191192,0.12630763765356157,1,1
6050012020,0.5384645205650643,0.6434927638866413,1,1
6050012280,NaN,NaN,1,1
6050012790,0.46726633449652566,0.4446760870296037,1,1
6050013420,0.3664605574721169,0.3220026820983183,1,1
6050013750,0.7194107702191194,0.8399255245918161,1,1
6050015560,NaN,NaN,1,1
6050016760,NaN,NaN,1,5
6050018850,-2.364762381098452,-0.8135545848162427,1,5
6050019090,-4.453455713664733,-0.2727820908735197,1,5
6050024060,NaN,NaN,1,1
6050026750,0.8926808807353928,0.904751375836331,1,1
6050026990,0.6110043191464645,0.7637259595014956,1,1
6050027290,-3.661823006796853,-1.1445046033996653,1,1
6050027770,0.5416439348812667,0.6375390017556779,1,1
6050028110,NaN,NaN,1,1
6050028290,-0.07646502061940241,-0.4923516145663398,1,1
6050033220,0.45821474081713687,0.6708561148535512,1,1
7050004210,-19.88161340535208,-3.198858490413067,1,1
7050004660,NaN,NaN,1,1
7050006390,-0.6081639741384406,0.31784076060541966,1,5
7050006420,0.4891324437725022,0.525634965500632,1,1
7050006910,0.11153245913206278,0.16398751327139904,1,1
7050007380,NaN,NaN,1,1
7050008710,NaN,NaN,1,13
7050013170,0.7241028457433043,0.627785170188063,1,1
7050014040,0.7987219789217933,0.7894256829388222,1,1
7050014930,0.025691344320931453,0.6174408246397574,1,9
7050016260,0.8752237507012591,0.8911566599349919,1,5
7050016850,0.7947990637191886,0.7717842761467817,1,1
7050019010,0.8728420583771322,0.7564786207880443,1,1
7050019190,0.9000795430751066,0.9232375131861448,1,1
7050020090,0.8377656721447203,0.741084030660754,1,1
7050021620,0.6495144157344206,0.7195679115618497,1,1
7050021740,-0.7186967672231999,0.0842567372468499,1,5
7050022240,-19.3120090102963,-0.3592600668993815,1,11
7050022270,0.32235066121710454,0.585975632616442,1,5
7050024830,NaN,NaN,1,1
7050024890,0.7738150078130644,0.8525808363206447,1,1
7050025090,NaN,NaN,1,1
7050025560,NaN,NaN,1,1
7050025860,NaN,NaN,1,1
7050028410,NaN,NaN,1,1
7050029000,NaN,NaN,1,1
7050030940,0.45729238838848363,0.5606650938731168,1,1
7050031710,0.5794259333275757,0.7285136265530743,1,1
7050033110,NaN,NaN,1,1
7050033690,0.8703653982930223,0.9194216400012725,1,1
7050034000,NaN,NaN,1,1
7050034010,NaN,NaN,1,1
7050034330,0.5411830640280961,0.6848199100145065,1,1
7050038810,0.5217663355674966,0.4453197023733486,1,1
7050039160,0.7618889093096324,0.8624847741181297,1,1
7050039620,0.7321036328600975,0.7360087596801042,1,1
7050041050,0.7565753264465882,0.7492035302140032,1,1
7050041400,0.7524677085481812,0.7219308142515396,1,1
7050042310,0.5776177845700892,0.7844929905918415,1,1
7050042740,0.5099619509682176,0.6723653274302082,1,1
7050043500,0.6442616809391859,0.7565837031133524,1,1
7050043640,0.7345339660367853,0.7621072807065103,1,1
7050045480,NaN,NaN,1,1
7050045890,0.4858554191702662,0.7187927605180331,1,1
7050046600,0.4304058602343558,0.5758804411050853,1,1
7050047970,-0.1967467849328055,0.1674608385957923,1,1
7050048300,0.017248327036939126,0.02415037856610114,1,5
7050048410,-0.14535844835024458,-0.3713864320157858,1,5
7050048860,-0.022838321557804964,-0.32343969988363774,1,1
7050049270,-3.6819851307047093,-0.38322369265678313,1,5
7050061620,0.5865724152387011,0.7318381569983584,1,1
8050000810,0.7544974183497309,0.619119107535877,1,1
8050002260,0.8132662994658426,0.8048578683424144,1,1
8050004910,0.8556570511220976,0.9065623318801707,1,5
8050005510,NaN,NaN,1,9
8050007020,0.7335495986786182,0.7755231486272682,1,1
8050007180,NaN,NaN,1,1
8050008380,NaN,NaN,1,1
8050010040,0.6218821886613443,0.47027699233906084,1,1
8050012600,0.4726010189973999,0.28896584536389147,1,1
8050018080,0.16168247564727056,-0.0946379787898739,1,1
1051299640,NaN,NaN,2,4
1051472390,NaN,NaN,2,5
1051620260,-0.3111997798633468,-0.24707961461551764,2,8
1051455380,NaN,NaN,2,4
2050501810,-13.053510140458114,-2.2352688794651168,2,8
2050420240,0.8838309295004791,0.9149210457860315,2,1
2050420340,0.8472593970881359,0.9069650143645475,2,4
2050355620,0.7826703395936025,0.8746270073553153,2,1
2050355700,0.35255811059145015,0.4849757773180392,2,4
2050362370,-0.7953624645749182,0.36960468366500765,2,4
2050362600,NaN,NaN,2,1
2050172450,NaN,NaN,2,1
2050645200,NaN,NaN,2,4
2050828790,0.652874431518189,0.7474660256018979,2,1
3050173840,NaN,NaN,2,4
3050057220,NaN,NaN,2,4
3050063670,-0.30070211987155715,-0.7229698067923722,2,4
4050098950,NaN,NaN,2,20
4050694350,NaN,NaN,2,8
4050978600,NaN,NaN,2,4
4050978610,NaN,NaN,2,1
4051144880,NaN,NaN,2,1
4051144860,NaN,NaN,2,12
4051019890,0.8815848855939664,0.9183329985436832,2,1
4050237450,NaN,NaN,2,4
5050241060,0.07484886835093774,-0.1919384765065324,2,4
5050591010,-4.529315990907834,-1.8706917692732183,2,7
5050491510,-35.25610901763002,-7.80272851033617,2,5
6050075390,NaN,NaN,2,12
6050099060,-0.6009690862289547,-0.16642237113447678,2,4
6050239820,0.8908742280837005,0.7758456074606475,2,5
6050344540,NaN,NaN,2,12
6050344660,0.34399782844862703,0.355611731764227,2,1
6050334800,0.5477212435362355,0.10949634417556764,2,1
7050707810,-6.723458720406447,-7.730703210065295,2,5
7050587960,NaN,NaN,2,4
7050394690,0.250316282817873,0.6563772414900848,2,8
7050394680,0.8583240004099175,0.742820301276264,2,1
7050274860,0.9322607555306582,0.9419707660504658,2,1
7050142610,0.010673478242979817,0.21858093700590187,2,1
7050132870,0.15814917621551272,0.35511662341147543,2,1
7050129300,-0.6591761112236891,0.1279778704245682,2,4
7050136320,-7.438082868912478,-1.3044997421563376,2,4
7050252580,NaN,NaN,2,4
7050252700,0.5752572680712664,0.7396652317810947,2,1
7050112210,-7.522191078443601,-1.9020536100210998,2,4
7050112130,0.7723949765578617,0.6652141821876167,2,1
7050374800,0.23506827666657404,0.3971499526677509,2,1
7050374950,NaN,NaN,2,12
7050739170,0.6801310419834703,0.7691383847804809,2,1
7050739180,NaN,NaN,2,4
7050741770,NaN,NaN,2,12
7050747570,0.01431110625044929,-0.38748685004733363,2,1
8050183880,NaN,NaN,2,8
8050112340,0.6448246669713457,0.7669152100327534,2,1
8050129410,-0.014316592187378907,-0.10009805067587663,2,4
8050201110,0.8868114197697782,0.9378880398157362,2,1
8050201080,NaN,NaN,2,4
1051299550,NaN,NaN,3,3
1051576130,NaN,NaN,3,1
1051576090,NaN,NaN,3,7
1051440050,NaN,NaN,3,3
1050873640,0.402306473391314,0.2981843618667803,3,3
1051923540,NaN,NaN,3,7
1051515680,-1.6726011365435167,-0.3528049090999066,3,7
2050557390,0.4883449688164162,0.7747457805873444,3,11
2050502920,0.8491964424575232,0.8870918727978306,3,1
2050429670,0.8029394709131028,0.7997794537513018,3,1
2050429770,0.7671944645090831,0.8230967359119368,3,3
2050379560,0.371230828800056,0.48897380875674423,3,3
2050379690,0.807654234424225,0.8544216825795533,3,1
2050358250,0.8514664955036374,0.9128471724626632,3,1
2050366520,NaN,NaN,3,1
2050154540,NaN,NaN,3,3
2050384360,0.011580815740870665,-0.2379983738842264,3,3
2050816870,0.522167671511283,0.5942486432761347,3,1
3050143180,NaN,NaN,3,23
3050127410,0.5125893620224815,0.4003528784422494,3,3
4050128810,NaN,NaN,3,19
4051128230,NaN,NaN,3,11
4051010310,0.5841775783650283,0.5130670844374492,3,3
4050960480,NaN,NaN,3,5
5050533450,-0.16654375232217578,-0.5727109373960919,3,6
6050238630,0.7180008006952432,0.8049106988694422,3,1
6050298170,0.9280571110923497,0.8815757573142703,3,1
6050345180,-1.4802699708450717,0.742752703190857,3,11
6050345000,0.558440523236696,0.5775682800500468,3,5
6050372330,NaN,NaN,3,3
6050852180,0.4662717365087079,0.4407106149679828,3,1
6050913910,NaN,NaN,3,3
7050675400,-13.790711510342687,-0.7340136584550365,3,11
7050675410,0.3574682081638081,0.5630656327184382,3,1
7050574760,0.6866866092410927,0.7045315144492303,3,1
7050574630,-1.3616014815443753,-0.10896261958458764,3,3
7050395340,0.5219550927622376,0.7160310074028482,3,1
7050234050,0.8165742930073897,0.7226693078408952,3,3
7050234040,0.8623378982221367,0.8996685435792081,3,1
7050145540,-1.223963682990624,0.12215604586594409,3,3
7050145630,NaN,NaN,3,1
7050134100,-39.05038342125003,-0.454346324072449,3,9
7050134090,0.6333642454193467,0.764389411750731,3,1
7050241270,0.35139336303397695,0.2872060370823356,3,3
7050262150,0.7729878293580419,0.8042250219792297,3,1
7050402320,NaN,NaN,3,5
7050402430,NaN,NaN,3,11
7050686450,NaN,NaN,3,5
7050736840,NaN,NaN,3,4
7050744090,0.06208545403324206,0.28768883412820767,3,3
7050737080,0.0335338958697331,-0.024555640779334587,3,1
7050790420,-0.4424123116402836,-0.7143962968037836,3,3
7050822250,-0.18535291483648364,-0.29361022686281935,3,3
7050855570,0.020351260893211154,0.3278309226279962,3,3
8050254340,NaN,NaN,3,3
8050176060,NaN,NaN,3,7
8050122010,NaN,NaN,3,19
8050122100,0.6596936028521034,0.7124606394379123,3,1
8050190480,0.7218369519886005,0.7873989936633241,3,1
8050190630,-5.355964357815745,0.019947210965367113,3,3
1051382440,NaN,NaN,4,1
1051443680,NaN,NaN,4,14
1051626210,-0.08731500346182375,-0.23436054627341907,4,6
1051244040,NaN,NaN,4,14
1050842500,0.24671223539501808,0.017640143021964372,4,4
1050734180,NaN,NaN,4,1
1050734190,NaN,NaN,4,6
1050670570,NaN,NaN,4,3
2050569550,0.4506729452842889,0.7585840352381781,4,10
2050441280,0.7526182056122082,0.7903155232662693,4,2
2050441290,0.7732786954432906,0.8488247737722161,4,1
2050362090,0.03911052748728372,0.31565036594285134,4,2
2050366020,0.6809032137617514,0.7084463723957246,4,1
4050670500,NaN,NaN,4,3
4051108580,NaN,NaN,4,5
4050956110,0.7307648482266975,0.6698439271495802,4,2
4050956230,NaN,NaN,4,10
5050595630,0.13099705617920188,0.0792737990121487,4,3
5050595640,0.39600593041836385,0.32498383998014,4,1
5050456070,-0.1413309240467011,-1.079939877383246,4,5
6050384210,0.8435988343988661,0.6924311659093894,4,1
6050384320,0.7855507607689884,0.7096664368955496,4,3
6050411450,0.8724152989325294,0.9072536553352504,4,10
6050408150,0.740927901210543,0.774450517349747,4,4
6050842130,0.1408619935385761,0.44005911443979784,4,1
6050887140,NaN,NaN,4,22
6050960580,NaN,NaN,4,2
7050379430,-0.3569169139313837,0.5033743231649574,4,5
7050379310,-0.9458492463358381,-0.005429181121800575,4,6
7050192890,0.6478842140995953,0.6770746302028596,4,1
7050144740,-0.2779787251037673,0.3036419234644041,4,2
7050146980,-197.30769575225204,-10.933065230748154,4,2
